Destination,Cost,Type,Climate,Duration_days,Season,Continent
Agra,1500,Cultural,Moderate,2,Winter,Asia
Varanasi,1200,Cultural,Hot,3,Winter,Asia
Jaipur,1800,Cultural,Hot,3,Winter,Asia
Udaipur,1700,Cultural,Moderate,3,Winter,Asia
Jaisalmer,1600,Adventure,Hot,3,Summer,Asia
Jodhpur,1600,Cultural,Hot,3,Winter,Asia
Ranthambore,1400,Adventure,Hot,2,Winter,Asia
Delhi,2000,Cultural,Hot,3,Winter,Asia
Amritsar,1500,Cultural,Moderate,2,Winter,Asia
Shimla,1700,Relaxation,Cold,4,Summer,Asia
Manali,1800,Adventure,Cold,4,Summer,Asia
Dharamshala,1600,Relaxation,Cold,4,Summer,Asia
Leh Ladakh,2500,Adventure,Cold,5,Summer,Asia
Kasol,1400,Adventure,Cold,3,Summer,Asia
Srinagar,1900,Relaxation,Cold,4,Summer,Asia
Gulmarg,1800,Adventure,Cold,3,Winter,Asia
Kashmir Valley,2000,Relaxation,Cold,5,Summer,Asia
Goa,2200,Relaxation,Warm,4,Winter,Asia
Pondicherry,1800,Relaxation,Warm,3,Winter,Asia
Chennai,1700,Cultural,Warm,3,Winter,Asia
Bangalore,1600,Cultural,Moderate,3,Winter,Asia
Mysore,1500,Cultural,Moderate,3,Winter,Asia
Coorg,1800,Relaxation,Moderate,3,Summer,Asia
Ooty,1700,Relaxation,Moderate,4,Summer,Asia
Kodaikanal,1600,Relaxation,Moderate,3,Summer,Asia
Darjeeling,1800,Relaxation,Cold,4,Summer,Asia
Sikkim,2000,Adventure,Cold,4,Summer,Asia
Gangtok,1900,Relaxation,Cold,4,Summer,Asia
Kolkata,1600,Cultural,Hot,3,Winter,Asia
Ahmedabad,1500,Cultural,Hot,3,Winter,Asia
Mumbai,2200,Party,Warm,4,Winter,Asia
Pune,1800,Party,Moderate,3,Winter,Asia
Hyderabad,1700,Cultural,Hot,3,Winter,Asia
Lucknow,1500,Cultural,Hot,3,Winter,Asia
Patna,1400,Cultural,Hot,3,Winter,Asia
Rishikesh,1400,Adventure,Moderate,3,Summer,Asia
Haridwar,1400,Cultural,Moderate,3,Winter,Asia
Ajanta,1600,Cultural,Hot,2,Winter,Asia
Ellora,1600,Cultural,Hot,2,Winter,Asia
Hampi,1500,Adventure,Hot,3,Winter,Asia
Gokarna,1700,Relaxation,Warm,3,Winter,Asia
Mahabalipuram,1600,Cultural,Warm,3,Winter,Asia
Kochi,1800,Cultural,Warm,Winter,Asia
Munnar,1700,Relaxation,Cold,4,Summer,Asia
Alleppey,1700,Relaxation,Warm,4,Winter,Asia
Varkala,1800,Relaxation,Warm,3,Winter,Asia
Kanyakumari,1600,Relaxation,Warm,3,Winter,Asia
Leh,2600,Adventure,Cold,5,Summer,Asia
Tawang,2200,Adventure,Cold,4,Summer,Asia
Chitkul,2000,Adventure,Cold,4,Summer,Asia
Rameswaram,1700,Cultural,Warm,3,Winter,Asia
Ambae Beach (Goa),2000,Relaxation,Warm,4,Winter,Asia
